ResourceAgencyNum	Longitude	Latitude	PublicName	PhysicalAddress1	PhysicalAddress2	PhysicalCity	MailingStateProvince	PhysicalPostalCode				PhysicalCounty	TaxonomyLevelName
7424005	-117.3224	34.1231	Neighborhood Network Center - San Bernardino	906 Wilson St.		San Bernardino	CA	92411				San Bernardino	Site
7424857	-117.29458	34.10588	Senior Companion Program	600 W 5th Street		San Bernardino						San Bernardino	Site
7422312	-117.29458	34.10588	Senior Companion Program	600 W  5th St		San Bernardino	CA	92410				San Bernardino	Agency
7422317	-117.31839	34.510298	St. John of God Health Care Services	13333 Palmdale Rd		Victorville	CA	92392				San Bernardino	Agency
7423718	-116.047705	34.160333	Transitional Assistance Department - 29 Palms Office	73629 Sun Valley Dr		Twentynine	CA	92277				San Bernardino	Site
7423703	-117.476687	34.591415	Transitional Assistance Department - Adelanto Office	10875 Rancho Rd	Ste 700	Adelanto	CA	92301				San Bernardino	Site
7423702	-117.26746	34.12707	Transitional Assistance Department - Administration Office	860 E Brier Rd		San Bernardino	CA	92415				San Bernardino	Site
9815491	-117.566589	34.14385	Transitional Assistance Department - Alta Loma Office	9850 19th Street	Ste 167	Alta Loma	CA	91737				San Bernardino	Site
7423704	-117.035034	34.886956	Transitional Assistance Department - Barstow	1900 E Main St		Barstow	CA	92311				San Bernardino	Site
7423705	-117.325745	34.059486	Transitional Assistance Department - Colton Office	2040 W Woodpine Ave		Colton	CA	92324				San Bernardino	Site
7423706	-117.26746	34.12707	Transitional Assistance Department - Del Rosa	1585 E Highland Ave		San Bernardino	CA	92415				San Bernardino	Site
7423707	-117.46168	34.09402	Transitional Assistance Department - Fontana Office	7977 Sierra Ave		Fontana	CA	92335				San Bernardino	Site
7423719	-117.46168	34.09402	Transitional Assistance Department - Fontana/Arrow Office	16730 Arrow Blvd		Fontana	CA	92335				San Bernardino	Site
7423708	-117.307226	34.416478	Transitional Assistance Department - Hesperia Office	9655 9th Ave		Hesperia	CA	92345				San Bernardino	Site
7423709	-114.60472	34.831519	Transitional Assistance Department - Needles Office	1300 Bailey St		Needles	CA	92363				San Bernardino	Site
7423710	-117.606182	34.03412	Transitional Assistance Department - Ontario Office	1627 E Holt Blvd		Ontario	CA	91761				San Bernardino	Site
7423711	-117.58128	34.09914	Transitional Assistance Department - Rancho Cucamonga Office	10825 Arrow Route		Rancho Cucamonga	CA	91730				San Bernardino	Site
7423712	-117.162666	34.017949	Transitional Assistance Department - Redlands	8081 W Redlands Blvd		Redlands	CA	92373				San Bernardino	Site
16419746	-117.377578	34.116042	Transitional Assistance Department - Rialto	1175 W Foothill Blvd		Rialto	CA	92376				San Bernardino	Site
7423713	-117.26746	34.12707	Transitional Assistance Department - San Bernardino 4th Street	265 E 4th Street		San Bernardino	CA	92415				San Bernardino	Site
7423714	-117.26746	34.12707	Transitional Assistance Department - San Bernardino Massachusetts Office	2050 N Massachusetts		San Bernardino	CA	92415				San Bernardino	Site
7423715	-117.31839	34.510298	Transitional Assistance Department - Victorville Office	15010 Palmdale Ave		Victorville	CA	92392				San Bernardino	Site
7423716	-117.606182	34.03412	Transitional Assistance Department - West End Medi-Cal Office	1627 E Holt Blvd		Ontario	CA	91761				San Bernardino	Site
17086918	-117.03929	34.031674	Transitional Assistance Department - Yucaipa Office	32353 Yucaipa Blvd		Yucaipa	CA	92399				San Bernardino	Site
7423717	-116.429694	34.17536	Transitional Assistance Department - Yucca Valley	56357 Pima Trail		Yucca Valley	CA	92284				San Bernardino	Site
7422493	-117.3661	34.4862	Victor Valley Rescue Mission	16857 C Street		Victorville	CA	92395				San Bernardino	Agency
r1	"-117.3766948,17"	33.9758859	Veterans Services Riverside	"4360 Orange Street Riverside, CA, 92501"		Riverside	CA	92501					
r2	"-116.9725708,17"	33.759571	Veterans Services Hemet	"749 North State Street, Hemet CA, 92543"		Hemet	CA	92543					
r3	"-116.2338039,17"	33.7166375	Veterans Services Indio 	"44-199 Monroe Street Suite B, Indio CA, 92201"		Indio	CA	92201					
r5	"-117.5524343,17"	33.8593138	VA Medical Clinic Corona	"800 Magnolia Avenue, Suite 101Corona, CA, 92879"		Corono	CA	92879					
r6	"-117.1673385,17"	33.6147826	VA Medical Clinic Murrieta 	"28078 Baxter Road, Suite 540 Murrieta, CA, 92563"		Murrieta	CA	92563					
r7	"-116.3562162,17"	33.7435706	VA Medical Clinic Palm Desert 	"41900 Cook Street, Building F Palm Desert, CA, 92211"		Palm Desert	CA	92211					
r8	"-114.6093288,17"	33.6101807	VA Blythe Rural Heal Clinic 	"1273 West Hobsonway Blythe, CA, 92225"		Blythe	CA	92225					
r10	"-117.5524343,17"	33.8593138	Corona Vet Center	"800 Magnolia Avenue, Suite 110, Corona CA, 92879"		Corona	CA	92879					
r11	"-117.1610548,17"	33.5292119	Temecula Vet Center	"40935 County Center Dr. Suit A-B Temecula, CA 92591"		Temecula	CA	92592					
r12	"-117.3052376,17"	33.8709335	US Vets	"15195 6th Street, March ARB Moreno Valley, CA, 92518"		Moreno Valley	CA	92518					
