OBJECTID,UID,LONGITUDE,LATITUDE,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,NAME,TYPE,METHOD,PERMIT_NO_
13,6160299,-81.81756000,32.39756000,Langston Chapel Middle School,31.00000000,150 Langston Chapel Road,,Statesboro,Georgia,,0.00000000,,,,13031,Bulloch,Middle School,Geocode,
14,6165050,-81.78479000,32.46773000,Mattie Lively Elementary School,30.00000000,204 Debbie Drive,,Statesboro,Georgia,,0.00000000,,,,13031,Bulloch,Elementary School,Geocode,
15,6170196,-81.76939000,32.97961000,S G A Elementary School,30.00000000,1265 Charles Perry Boulevard,,Sardis,Georgia,,0.00000000,,,,13033,Burke,Elementary School,Geocode,
16,6174050,-82.02481000,33.09272000,Blakeney Elementary School,30.00000000,518 College Street,,Waynesboro,Georgia,,0.00000000,,,,13033,Burke,Elementary School,Geocode,
17,6180290,-83.96961000,33.28497000,North Mulberry Elementary School,30.00000000,820 North Mulberry Street,,Jackson,Georgia,,0.00000000,,,,13035,Butts,Elementary School,Geocode,
18,6190179,-84.70832000,31.45211000,Calhoun County Elementary School,30.00000000,"699 Morgan Road, NE",,Arlington,Georgia,,0.00000000,,,,13037,Calhoun,Elementary School,Geocode,
19,6200395,-81.57061000,30.74930000,Saint Marys Middle School,31.00000000,2600 Osborne Road,,St. Marys,Georgia,,0.00000000,,,,13039,Camden,Middle School,Geocode,
20,6203050,-81.54755000,30.72610000,Saint Marys Elementary School,30.00000000,510 Osborne Street,,St. Marys,Georgia,,0.00000000,,,,13039,Camden,Elementary School,Geocode,
21,6220177,-85.06152000,33.53672000,Central Middle School,31.00000000,155 Whooping Creek Road,,Carrollton,Georgia,,0.00000000,,,,13045,Carroll,Middle School,Geocode,
22,6220180,-85.25028000,33.53959000,Bowdon Primary School,30.00000000,225 East College Street,,Bowdon,Georgia,,0.00000000,,,,13045,Carroll,Elementary School,Geocode,
23,6220198,-84.94109000,33.68908000,Bay Springs Middle School,31.00000000,122 Bay Springs Road,,Villa Rica,Georgia,,0.00000000,,,,13045,Carroll,Middle School,Geocode,
24,6220199,-84.92732000,33.73503000,Villa Rica Elementary,30.00000000,314 Peachtree Street,,Villa Rica,Georgia,,0.00000000,,,,13045,Carroll,Elementary School,Geocode,
25,6220477,-84.91791000,33.49881000,Whitesburg Elementary School,30.00000000,868 Main Street,,Whitesburg,Georgia,,0.00000000,,,,13045,Carroll,Elementary School,Geocode,
26,6222050,-85.25368000,33.52633000,Bowdon Elementary School,30.00000000,223 Kent Avenue,,Bowdon,Georgia,,0.00000000,,,,13045,Carroll,Elementary School,Geocode,
27,6223054,-84.91300000,33.72840000,Villa Rica Primary School,30.00000000,118 Glanton Street,,Villa Rica,Georgia,,0.00000000,,,,13045,Carroll,Elementary School,Geocode,
28,6250299,-81.24447000,32.00351000,Southwest Middle School,31.00000000,6030 Ogeechee Road,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Middle School,Geocode,
29,6250300,-81.24401000,32.00395000,Southwest Chatham Elementary,30.00000000,6020 Ogeechee Road,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
30,6250400,-81.11290000,32.07349000,Oglethorpe Academy,32.00000000,707 Stiles Avenue,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Other School,Geocode,
31,6250499,-81.09150000,32.04628000,Savannah Arts Academy,32.00000000,500 Washington Avenue,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Other School,Geocode,
32,6251052,-81.12592000,32.08577000,Bartow Elementary School,30.00000000,1804 Stratford Street,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
33,6251058,-81.10370000,32.01734000,Heard Elementary School,30.00000000,414 Lee Boulevard,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
34,6251060,-80.98685000,32.00904000,Howard Elementary School,30.00000000,115 Wilmington Island Road,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
35,6251064,-81.07160000,32.03138000,Myers Middle School,31.00000000,2316 Brevard Circle,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Middle School,Geocode,
36,6251070,-81.12765000,31.99145000,White Bluff Elementary School,30.00000000,9902 White Bluff Road,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
37,6252062,-81.13879000,31.99167000,Largo-Tibet Elementary School,30.00000000,430 Tibet Avenue,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
38,6252069,-81.05244000,32.02936000,Thunderbolt Elementary School,30.00000000,3313 Louis Street,,Thunderbolt,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
39,6252070,-81.05077000,32.06749000,Whitney Elementary School,30.00000000,2 Laura Street,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
40,6253054,-81.11674000,32.04976000,DeRenne Middle School,31.00000000,3609 Hopkins Street,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Middle School,Geocode,
41,6253060,-81.06483000,31.97894000,Isle of Hope Elementary School,30.00000000,100 Parkersburg Road,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
42,6253062,-81.08143000,32.02380000,Low Elementary School,30.00000000,15 Blue Ridge Avenue,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
43,6253064,-81.24934000,32.12027000,Pooler Elementary School,30.00000000,308 Holly Avenue,,Pooler,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
44,6254052,-81.30113000,32.12834000,Bloomingdale Elementary School,30.00000000,101 East Main Street,,Bloomingdale,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
45,6254054,-81.09859000,32.04657000,Ellis Elementary School,30.00000000,220 East 49th Street,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
46,6254056,-81.12247000,32.03562000,Haven Elementary School,30.00000000,5111 Dillion Avenue,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
47,6254058,-81.10542000,31.97919000,Hesse Elementary School,30.00000000,9116 Whitfield Avenue,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
48,6254068,-81.15723000,32.14244000,Port Wentworth Elementary School,30.00000000,507 South Coastal Highway,,Port Wentworth,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
49,6254070,-81.14381000,31.97375000,Windsor Forest Elementary School,30.00000000,414 Briarcliff Road,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
50,6255050,-81.13048000,31.99997000,Bartlett Middle School,31.00000000,207 Montgomery Crossroads,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Middle School,Geocode,
51,6255052,-81.12462000,32.06391000,Butler Elementary School,30.00000000,1909 Cynthia Street,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
52,6255062,-81.15867000,32.11340000,Mercer Middle School,31.00000000,201 Rommel Avenue,,Garden City,Georgia,,0.00000000,,,,13051,Chatham,Middle School,Geocode,
53,6255064,-81.11497000,32.03023000,Pulaski Elementary School,30.00000000,5330 Montgomery Street,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
54,6255066,-81.10231000,32.03660000,Jacob G. Smith Elementary School,30.00000000,210 Lamara Drive,,Savannah,Georgia,,0.00000000,,,,13051,Chatham,Elementary School,Geocode,
55,6290178,-83.44760000,33.93674000,Timothy Elementary School,30.00000000,1900 Timothy Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
56,6290191,-83.50799000,33.95496000,Cleveland Road Elementary School,30.00000000,1700 Cleveland Road,,Bogart,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
57,6290291,-83.35757000,33.97237000,Fourth Street Elementary School,30.00000000,715 Fourth Street,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
58,6290296,-83.47562000,33.99041000,Burney-Harris-Lyons Middle School,31.00000000,1600 Tallassee Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Middle School,Geocode,
59,6290391,-83.31546000,33.89969000,Whit Davis Road Elementary School,30.00000000,1450 Whit Davis Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
60,6291058,-83.39987000,33.94669000,Clarke Middle School,31.00000000,1235 Baxter Street,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Middle School,Geocode,
61,6291062,-83.43369000,33.98056000,Whitehead Road Elementary School,30.00000000,500 Whitehead Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
62,6292056,-83.33958000,33.91078000,Barnett Shoals Elementary School,30.00000000,3220 Barnett Shoals Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
63,6292062,-83.28992000,33.97147000,Winterville Elementary School,30.00000000,305 Cherokee Road,,Winterville,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
64,6293056,-83.38189000,33.93172000,Barrow Elementary School,30.00000000,100 Pinecrest Drive,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
65,6293058,-83.36256000,33.98882000,Fowler Drive Elementary School,30.00000000,400 Fowler Drive,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
66,6294058,-83.32693000,33.93523000,Gaines Elementary School,30.00000000,280 Gaines School Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
67,6294060,-83.42068000,33.96225000,Oglethorpe Avenue Elementary School,30.00000000,1150 Oglethorpe Avenue,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
68,6295054,-83.40923000,33.94707000,Alps Road Elementary School,30.00000000,200 Alps Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
69,6295056,-83.39297000,33.96484000,Chase Street Elementary School,30.00000000,757 North Chase Street,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Elementary School,Geocode,
70,6295058,-83.33634000,33.92834000,Hilsman Middle School,31.00000000,870 Gaines School Road,,Athens,Georgia,,0.00000000,,,,13059,Clarke,Middle School,Geocode,
71,6340295,-82.85091000,31.49018000,West Coffee Middle School,31.00000000,1303 South Peterson Avenue,,Douglas,Georgia,,0.00000000,,,,13069,Coffee,Middle School,Geocode,
72,6344550,-82.84550000,31.49760000,East Coffee Middle School,31.00000000,1020 South Gaskin Avenue,,Douglas,Georgia,,0.00000000,,,,13069,Coffee,Middle School,Geocode,
73,6353050,-83.79131000,31.18486000,Stringfellow Elementary School,30.00000000,"200 Fifth Avenue, SW",,Moultrie,Georgia,,0.00000000,,,,13071,Colquitt,Elementary School,Geocode,
74,6353052,-83.80054000,31.19058000,Gray Middle School,31.00000000,"812 11th Avenue, NW",,Moultrie,Georgia,,0.00000000,,,,13071,Colquitt,Middle School,Geocode,
75,6354050,-83.77529000,31.17050000,Cox Elementary School,30.00000000,"1003 12th Street, SE",,Moultrie,Georgia,,0.00000000,,,,13071,Colquitt,Elementary School,Geocode,
76,6360173,-82.15167000,33.49729000,Westmont Elementary School,30.00000000,4558 Oakley Pirkle Road,,Martinez,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
77,6360176,-82.12731000,33.53645000,Evans Middle School,31.00000000,4318 Washington Road,,Evans,Georgia,,0.00000000,,,,13073,Columbia,Middle School,Geocode,
78,6360186,-82.15303000,33.53674000,Evans Elementary School,30.00000000,628 Gibbs Road,,Evans,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
79,6360190,-82.15887000,33.48528000,Brookwood Elementary School,30.00000000,455 South Old Belair Road,,Grovetown,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
80,6360192,-82.07116000,33.55396000,Stevens Creek Elementary School,30.00000000,3780 Evans to Lock Road,,Martinez,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
81,6360193,-82.12008000,33.57503000,Riverside Middle School,31.00000000,1095 Fury's Ferry Road,,Evans,Georgia,,0.00000000,,,,13073,Columbia,Middle School,Geocode,
82,6360194,-82.12290000,33.57624000,Riverside Elementary School,30.00000000,4431 Hardy McManus Road,,Evans,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
83,6360397,-82.27552000,33.49184000,Euchee Creek Elementary School,30.00000000,795 Louisville Road,,Grovetown,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
84,6361050,-82.14315000,33.51583000,Bel Air Elementary School,30.00000000,325 North Belair Road,,Evans,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
85,6362050,-82.23019000,33.51681000,Columbia Middle School,31.00000000,6000 Columbia Road,,Grovetown,Georgia,,0.00000000,,,,13073,Columbia,Middle School,Geocode,
86,6362052,-82.10578000,33.50766000,Martinez Elementary School,30.00000000,213 Flowing Wells Road,,Martinez,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
87,6363052,-82.31863000,33.59114000,North Columbia Elementary School,30.00000000,2874 Ray Owens Road,,Appling,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
88,6365050,-82.19501000,33.44762000,Grovetown Elementary School,30.00000000,300 Ford Avenue,,Grovetown,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
89,6365052,-82.10264000,33.52502000,South Columbia Elementary School,30.00000000,325 McCormick Road,,Martinez,Georgia,,0.00000000,,,,13073,Columbia,Elementary School,Geocode,
90,6370196,-83.41660000,31.16633000,Cook Elementary School,30.00000000,1504 Patterson Street,,Adel,Georgia,,0.00000000,,,,13075,Cook,Elementary School,Geocode,
91,6380189,-84.69933000,33.39568000,White Oak Elementary School,30.00000000,770 Lora Smith Road,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
92,6380195,-84.80295000,33.33814000,Jefferson Parkway Elementary School,30.00000000,154 Millard Farmer Boulevard,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
93,6381050,-84.87431000,33.43803000,Arnco-Sargent Elementary School,30.00000000,2449 West Highway 16,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
94,6381054,-84.81727000,33.37490000,Ruth Hill Elementary School,30.00000000,57 Sunset Lane,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
95,6382050,-84.80000000,33.36731000,Atkinson Elementary School,30.00000000,14 Nimmons Street,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
96,6382052,-84.58201000,33.23802000,Eastside Elementary School,30.00000000,1225 Eastside School Road,,Senoia,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
97,6382056,-84.79496000,33.42342000,Northside Elementary School,30.00000000,720 Country Club Road,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
98,6383052,-84.80520000,33.38382000,Elm Street Elementary School,30.00000000,46 Elm Street,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
99,6385056,-84.89089000,33.38947000,Western Elementary School,30.00000000,1730 Welcome Road,,Newnan,Georgia,,0.00000000,,,,13077,Coweta,Elementary School,Geocode,
100,6400197,-83.76530000,31.95487000,Crisp County Middle School,31.00000000,1116 24th Avenue East,,Cordele,Georgia,,0.00000000,,,,13081,Crisp,Middle School,Geocode,
101,6401050,-83.76915000,31.98043000,Blackshear Trail Elementary School,30.00000000,1001 Blackshear Road,,Cordele,Georgia,,0.00000000,,,,13081,Crisp,Elementary School,Geocode,
102,6402052,-83.76794000,31.95489000,Southwestern Elementary School,30.00000000,1001 24th Avenue West,,Cordele,Georgia,,0.00000000,,,,13081,Crisp,Elementary School,Geocode,
103,6405050,-83.77086000,31.95491000,J. S. Pate Elementary School,30.00000000,802 24th Avenue East,,Cordele,Georgia,,0.00000000,,,,13081,Crisp,Elementary School,Geocode,
104,6430191,-84.57432000,30.89866000,Potter Street Elementary School,30.00000000,725 Potter Street,,Bainbridge,Georgia,,0.00000000,,,,13087,Decatur,Elementary School,Geocode,
105,6432050,-84.59184000,30.91612000,West Bainbridge Middle School,31.00000000,1417 Dothan Highway,,Bainbridge,Georgia,,0.00000000,,,,13087,Decatur,Middle School,Geocode,
106,6434052,-84.55782000,30.90571000,Jones-Wheat Elementary School,30.00000000,1400 East Broughton Street,,Bainbridge,Georgia,,0.00000000,,,,13087,Decatur,Elementary School,Geocode,
107,6435052,-84.58636000,30.91951000,West Bainbridge Elementary School,30.00000000,507 Martin Street,,Bainbridge,Georgia,,0.00000000,,,,13087,Decatur,Elementary School,Geocode,
108,6460190,-83.79844000,32.10198000,Dooly County Middle School,31.00000000,715 Third Street North,,Vienna,Georgia,,0.00000000,,,,13093,Dooly,Middle School,Geocode,
109,6470299,-84.19070000,31.54864000,Alice Coachman Elementary School,30.00000000,1425 West Oakridge Drive,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
110,6471060,-84.13670000,31.55010000,Radium Springs Middle School,31.00000000,2600 Radium Springs Drive,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Middle School,Geocode,
111,6471062,-84.11520000,31.59267000,Sylvandale Elementary School,30.00000000,1520 Cordell Avenue,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
112,6472050,-84.15591000,31.59019000,Albany Middle School,31.00000000,1000 North Jefferson Street,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Middle School,Geocode,
113,6472054,-84.11767000,31.57364000,Isabella Elementary School,30.00000000,300 Cason Street,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
114,6472056,-84.19065000,31.58017000,Magnolia Elementary School,30.00000000,1700 Samford Drive,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
115,6472058,-84.13349000,31.55125000,Morningside Elementary School,30.00000000,120 Sunset Boulevard,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
116,6472062,-84.08286000,31.57337000,Sylvester Road Elementary School,30.00000000,2600 Trenton Lane,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
117,6473052,-84.10171000,31.57018000,Dougherty Middle School,31.00000000,1800 Massey Drive,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Middle School,Geocode,
118,6473054,-84.12281000,31.58616000,Jackson Heights Elementary School,30.00000000,1305 East Second Street,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
119,6473062,-84.10093000,31.57639000,Turner Elementary School,30.00000000,2001 Leonard Avenue,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
120,6474056,-84.18732000,31.58594000,Merry Acres Middle School,31.00000000,1601 Florence Drive,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Middle School,Geocode,
121,6474058,-84.17889000,31.59149000,Palmyra Elementary School,30.00000000,1225 Fourth Avenue,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
122,6474060,-84.19991000,31.60753000,Sherwood Elementary School,30.00000000,2200 Barnesdale Way,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
123,6475054,-84.16474000,31.56606000,Lincoln Fundamental School,30.00000000,700 Corn Avenue,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
124,6475058,-84.12861000,31.53226000,Radium Springs Elementary School,30.00000000,2400 Roxanna Road,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
125,6475060,-84.16673000,31.55737000,Southside Middle School,31.00000000,1615 Newton Road,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Middle School,Geocode,
126,6475062,-84.20243000,31.56271000,West Town Elementary School,30.00000000,1113 University Avenue,,Albany,Georgia,,0.00000000,,,,13095,Dougherty,Elementary School,Geocode,
127,6490197,-84.94095000,31.37523000,Early County Middle School,31.00000000,413 Columbia Road,,Blakely,Georgia,,0.00000000,,,,13099,Early,Middle School,Geocode,
128,6510296,-81.22680000,32.34849000,Ebenezer Elementary School,30.00000000,1198 Ebenezer Road,,Rincon,Georgia,,0.00000000,,,,13103,Effingham,Elementary School,Geocode,
129,6510297,-81.33554000,32.18987000,South Effingham Middle School,31.00000000,1200 Noel C. Conaway Road,,Guyton,Georgia,,0.00000000,,,,13103,Effingham,Middle School,Geocode,
130,6520177,-82.85431000,34.11296000,Blackwell Elementary School,30.00000000,373 Campbell Street,,Elberton,Georgia,,0.00000000,,,,13105,Elbert,Elementary School,Geocode,
131,6543050,-81.91795000,32.16114000,Claxton Middle School,31.00000000,4 North College Street,,Claxton,Georgia,,0.00000000,,,,13109,Evans,Middle School,Geocode,
132,6570173,-85.18542000,34.21979000,McHenry Primary,30.00000000,"100 McHenry Drive, SW",,Rome,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
133,6570188,-85.11297000,34.29548000,Model Elementary School,30.00000000,"3200 Calhoun Highway, NE",,Rome,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
134,175-015,-83.73113500,34.70315500,White County Public Library-Helen Branch,17.00000000,90 Pete's Park Road,,Helen,Georgia,30545,706.00000000,878-2438,,,13311,White,Library,GPS,
135,175-018,-83.76433100,34.59827400,White County Public Library Cleveland Branch,17.00000000,60 Bell Street,,Cleveland,Georgia,30528,706.00000000,878-2438,,,13311,White,Library,GPS,
136,055-018,-83.85846100,34.22698100,Blackshear Place Library,17.00000000,2927 Atlanta Highway,,Gainesville,Georgia,30501,770.00000000,287-3654,,,13139,Hall,Library,GPS,
137,055-012,-83.89158200,34.40173200,Murrayville Library,17.00000000,4796 Thompson Bridge Road,,Gainesville,Georgia,30506,770.00000000,503-1055,,,13139,Hall,Library,GPS,
138,055-009,-83.77440000,34.47749500,Clermont Branch Library,17.00000000,117 King Street,,Clermont,Georgia,30527,770.00000000,983-3196,,,13139,Hall,Library,GPS,
139,055-006,-83.66421600,34.38933100,Lula Branch Library,17.00000000,Main Street,,Lula,Georgia,30554,770.00000000,869-7172,,,13139,Hall,Library,GPS,
140,055-015,-83.77700400,34.31401600,East Hall Library,17.00000000,2434 Old Cornelia Highway,,Gainesville,Georgia,30507,770.00000000,531-2500,,,13139,Hall,Library,GPS,
141,055-021,-83.82859300,34.30050600,Chestatee Regional Library,17.00000000,127 North Main Street,,Gainesville,Georgia,30505,770.00000000,532-3311,,,13139,Hall,Library,GPS,
142,175-009,-83.40464800,34.87995600,Rabun County Public Library,17.00000000,Highway 76,,Clayton,Georgia,30525,706.00000000,785-3731,,,13241,Rabun,Library,GPS,
143,175-003,-83.52302000,34.60703600,Clarkesville-Habersham County Public Library,17.00000000,174 East Green Street,Post Office Box 378,Clarkesville,Georgia,30523,706.00000000,754-4413,,,13137,Habersham,Library,GPS,
144,175-006,-83.52843400,34.51389800,Cornelia-Habersham County Library,17.00000000,201 North Main Street,,Cornelia,Georgia,30531,706.00000000,778-2635,,,13137,Habersham,Library,GPS,
145,175-012,-83.33069000,34.58076700,Toccoa-Stephens County Public Library,17.00000000,121 West Savannah Street,,Toccoa,Georgia,30577,706.00000000,886-6082,,,13257,Stephens,Library,GPS,
146,6570195,-85.17256000,34.35410000,Armuchee Elementary School,30.00000000,"5075 Martha Berry Highway, NW",,Rome,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
147,6570273,-85.18077000,34.16880000,Pepperell Middle School,31.00000000,"200 Hughes Dairy Road, SE",,Lindale,Georgia,,0.00000000,,,,13115,Floyd,Middle School,Geocode,
148,6571050,-85.23106000,34.25998000,Alto Park Elementary School,30.00000000,"528 Burnett Ferry Road, SW",,Rome,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
149,6572052,-85.23927000,34.28513000,Garden Lakes Elementary School,30.00000000,"2903 Garden Lakes Boulevard, NW",,Rome,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
150,6572054,-85.14751000,34.17762000,Midway Primary,30.00000000,"5 Midway School Road, SE",,Silver Creek,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
151,6573050,-85.33517000,34.10918000,Cave Spring Elementary School,30.00000000,13 Rome Street,,Cave Spring,Georgia,,0.00000000,,,,13115,Floyd,Elementary School,Geocode,
152,6582050,-83.99502000,34.29560000,Chestatee Elementary School,30.00000000,6945 Keith Bridge Road,,Gainesville,Georgia,,0.00000000,,,,13117,Forsyth,Elementary School,Geocode,
153,6630190,-81.50716000,31.25314000,Golden Isles Elementary School,30.00000000,1350 Cate Road,,Brunswick,Georgia,,0.00000000,,,,13127,Glynn,Elementary School,Geocode,
154,6630195,-81.38647000,31.21984000,Oglethorpe Point Elementary School,30.00000000,6200 Frederica Road,,St. Simons Isla,Georgia,,0.00000000,,,,13127,Glynn,Elementary School,Geocode,
155,6631052,-81.48106000,31.21208000,Altama Elementary School,30.00000000,5505 Altama Avenue,,Brunswick,Georgia,,0.00000000,,,,13127,Glynn,Elementary School,Geocode,
